,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
421,Myles Peart-Harris,eng ENG,Brentford,0.1,6,10,60.0,68,10,5,5,100.0,1,2,50.0,0,2,0.0,0,0.0,0.0,0.0,1,1,0,0,1,"DF,MF",20,2002
422,Sydie Peck,eng ENG,Sheffield Utd,0.1,1,1,100.0,10,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,18,2004
423,Facundo Pellistri,uy URU,Manchester Utd,1.9,60,79,75.9,675,146,47,53,88.7,11,17,64.7,0,0,,1,0.1,0.4,+0.9,1,4,2,0,6,"FW,MF",21,2001
424,Andreas Pereira,br BRA,Fulham,29.0,912,1295,70.4,16256,5305,436,500,87.2,309,400,77.3,133,289,46.0,7,7.1,5.7,-0.1,84,95,34,11,138,MF,27,1996
425,Ivan Perišić,hr CRO,Tottenham,1.1,53,76,69.7,828,363,31,39,79.5,14,22,63.6,7,13,53.8,1,0.9,0.7,+0.1,5,4,6,2,9,FW,34,1989
426,Đorđe Petrović,rs SRB,Chelsea,22.1,635,806,78.8,14560,8862,188,188,100.0,321,324,99.1,123,289,42.6,0,0.0,0.0,0.0,0,3,0,0,1,GK,23,1999
427,Kalvin Phillips,eng ENG,West Ham,3.4,141,179,78.8,2507,567,62,74,83.8,64,77,83.1,12,20,60.0,0,0.0,0.0,0.0,0,24,0,0,19,MF,27,1995
428,Kalvin Phillips,eng ENG,Manchester City,1.0,62,70,88.6,1067,300,31,32,96.9,24,26,92.3,7,10,70.0,0,0.0,0.1,0.0,0,8,1,1,7,MF,27,1995
429,Jaden Philogene Bidace,eng ENG,Aston Villa,0.0,3,4,75.0,27,5,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,FW,21,2002
430,Jordan Pickford,eng ENG,Everton,38.0,986,1576,62.6,33034,26388,144,145,99.3,378,390,96.9,461,1031,44.7,0,0.1,0.4,-0.1,4,97,8,0,6,GK,29,1994
