,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
514,Patric,es ESP,it Lazio,4.1,265,308,86.0,5523,2046,83,88,94.3,137,147,93.2,43,67,64.2,0,0.1,0.1,-0.1,2,17,0,0,19,DF,30,1993
515,Benjamin Pavard,fr FRA,it Inter,5.3,321,371,86.5,5705,1747,135,142,95.1,156,172,90.7,26,48,54.2,0,0.1,0.2,-0.1,3,22,2,0,20,DF,27,1996
516,Aleksandar Pavlovic,de GER,de Bayern Munich,2.3,170,183,92.9,3226,779,63,68,92.6,88,92,95.7,18,21,85.7,0,0.0,0.1,0.0,0,20,2,0,22,MF,19,2004
517,Strahinja Pavlović,rs SRB,at RB Salzburg,5.5,258,319,80.9,5252,1852,84,97,86.6,139,159,87.4,33,56,58.9,0,0.1,0.1,-0.1,2,17,1,0,20,DF,22,2001
518,Nicolás Paz,ar ARG,es Real Madrid,0.5,22,26,84.6,277,31,16,17,94.1,6,6,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,2,MF,18,2004
519,Pedri,es ESP,es Barcelona,3.7,147,177,83.1,2515,636,68,74,91.9,66,81,81.5,13,15,86.7,3,0.7,0.8,+2.3,5,17,3,0,25,"MF,FW",20,2002
520,Pedro,es ESP,it Lazio,2.1,81,90,90.0,1111,206,53,56,94.6,20,23,87.0,5,5,100.0,0,0.3,0.6,-0.3,3,4,2,0,7,FW,36,1987
521,Adrià Pedrosa,es ESP,es Sevilla,3.6,90,127,70.9,1557,444,42,50,84.0,39,53,73.6,7,17,41.2,0,0.0,0.1,0.0,0,5,2,1,6,"DF,FW",25,1998
522,Luca Pellegrini,it ITA,it Lazio,1.8,98,116,84.5,1529,654,56,61,91.8,35,38,92.1,6,12,50.0,0,0.0,0.1,0.0,0,11,3,1,10,DF,24,1999
523,Facundo Pellistri,uy URU,eng Manchester Utd,1.2,20,22,90.9,203,26,20,21,95.2,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,1,FW,21,2001
524,Iñaki Peña ,es ESP,es Barcelona,2.0,64,72,88.9,1526,1138,19,20,95.0,31,31,100.0,14,21,66.7,0,0.0,0.0,0.0,0,1,0,0,0,GK,24,1999
525,Pepe,pt POR,pt Porto,7.3,400,465,86.0,8065,2670,134,145,92.4,200,211,94.8,60,96,62.5,0,0.1,0.2,-0.1,1,28,2,0,31,DF,40,1983
526,Pepê,br BRA,pt Porto,7.1,161,214,75.2,2418,748,87,115,75.7,48,54,88.9,13,20,65.0,2,0.8,1.0,+1.2,12,16,14,1,35,"MF,FW",26,1997
527,Ricardo Pepi,us USA,nl PSV Eindhoven,1.5,30,37,81.1,435,87,19,20,95.0,9,14,64.3,2,2,100.0,1,0.2,0.1,+0.8,2,1,1,0,4,"FW,MF",20,2003
528,Danilo Pereira,pt POR,fr Paris S-G,1.8,128,135,94.8,2514,751,44,44,100.0,71,77,92.2,13,13,100.0,0,0.2,0.2,-0.2,1,8,1,0,6,DF,31,1991
529,Noah Persson,se SWE,ch Young Boys,0.4,18,27,66.7,277,84,11,13,84.6,6,9,66.7,1,4,25.0,0,0.0,0.1,0.0,1,1,1,1,1,"DF,MF",20,2003
530,Kalvin Phillips,eng ENG,eng Manchester City,1.4,107,117,91.5,1810,469,45,47,95.7,55,60,91.7,6,7,85.7,0,0.0,0.0,0.0,1,14,0,0,10,MF,27,1995
531,Nathaniel Phillips,eng ENG,sct Celtic,1.0,89,99,89.9,1412,336,41,43,95.3,45,47,95.7,3,8,37.5,0,0.0,0.0,0.0,0,7,0,0,9,DF,26,1997
532,Kamil Piątkowski,pl POL,at RB Salzburg,2.0,61,86,70.9,1322,344,14,17,82.4,37,43,86.0,10,22,45.5,0,0.0,0.0,0.0,0,2,0,0,4,DF,23,2000
533,Pizzi,pt POR,pt Braga,0.6,25,32,78.1,386,88,14,16,87.5,7,8,87.5,3,6,50.0,0,0.1,0.0,-0.1,1,3,0,0,6,MF,33,1989
534,Tommaso Pobega,it ITA,it Milan,1.7,26,40,65.0,313,116,17,22,77.3,6,13,46.2,1,2,50.0,0,0.0,0.1,0.0,0,1,1,0,4,MF,24,1999
535,Matteo Politano,it ITA,it Napoli,6.4,203,285,71.2,3357,1030,121,143,84.6,50,71,70.4,26,47,55.3,1,1.1,1.3,-0.1,11,17,18,3,35,FW,29,1993
536,Nick Pope,eng ENG,eng Newcastle Utd,5.0,89,130,68.5,2643,1956,20,20,100.0,37,37,100.0,31,71,43.7,0,0.0,0.0,0.0,0,1,0,0,0,GK,31,1992
537,Yussuf Poulsen,dk DEN,de RB Leipzig,3.7,52,75,69.3,651,170,30,41,73.2,14,17,82.4,2,3,66.7,1,0.8,0.5,+0.2,3,3,2,0,3,"FW,MF",29,1994
538,Ivan Provedel,it ITA,it Lazio,8.0,207,245,84.5,4851,3103,42,42,100.0,115,119,96.6,49,82,59.8,0,0.0,0.0,0.0,0,1,0,0,2,GK,29,1994
539,Christian Pulisic,us USA,it Milan,4.9,128,164,78.0,2056,706,69,75,92.0,37,50,74.0,14,23,60.9,0,0.6,0.7,-0.6,6,10,5,2,16,FW,24,1998
